subject,type,group,age,scholarship,gender,laterality,dscore_4,modo_2,mean_co_0,mean_in_0,dif_co_in_0,mean_co_1,mean_in_1,dif_co_in_1,mean_co_2,mean_in_2,dif_co_in_2
21100,excombatant,exguerrilla,19,11,F,D,0.319043911,0.940969009,-1.2958206405357795,0.9802582844104852,-2.276078924946264,-0.48015302375850605,0.6067580377800945,-1.0869110615386004,-1.2821514794849496,2.125282317506563,-3.407433796991512
21101,excombatant,exparamilitar,46,11,M,D,-0.070835936,0.006873246,1.7064811085968903,0.8357938602719893,0.870687248324901,-1.3954289180154298,-1.3866767488902847,-0.008752169125144541,2.190774827921634,2.12987903358719,0.06089579433444401
21102,excombatant,exparamilitar,31,11,M,D,0.488057432,#N/D,0.052615038599741364,-1.4626261885033869,1.5152412271031286,-6.071188995730162,-6.314724626589655,0.2435356308594906,-3.2244472691293202,-2.9447463513847074,-0.2797009177446124
21103,excombatant,exparamilitar,42,18,M,D,0.120374057,0.370198186,-0.8587196054257511,0.5292608257710492,-1.3879804311968003,-1.8299225492290825,-0.4389382137772174,-1.3909843354518654,-2.5351338882700434,-0.09658402144177049,-2.4385498668282732
21104,excombatant,exparamilitar,38,11,M,D,0.243337779,0.42363553,0.6451692231671939,1.4833060407338852,-0.8381368175666908,-0.3772262881416334,2.7834796644282997,-3.160705952569934,1.9959002317870296,2.328460660009879,-0.332560428222849
21105,excombatant,exparamilitar,48,8,M,D,0.258351725,0.021271749,0.9440888535661902,2.1046445015678974,-1.1605556480017067,0.390330159853462,0.9596177718407012,-0.5692876119872392,0.49344148382141484,0.1499252807712447,0.3435162030501701
21106,excombatant,exguerrilla,28,5,M,D,0.046196616,0.286540141,0.8793989696954347,-0.7334273922560797,1.6128263619515146,3.7920120792653167,2.4073356225679126,1.3846764566974024,-1.9296020069470523,-2.4491079047433724,0.5195058977963204
21107,excombatant,exguerrilla,25,11,M,D,-0.11956557,0.243379046,1.694146607942794,-0.1342075787786333,1.8283541867214264,0.6431932745127784,-1.5533665143929736,2.196559788905752,-0.8331551977794751,-1.2818964059026838,0.4487412081232091
21108,excombatant,exguerrilla,21,8,F,D,-0.023241771,0.310845045,-0.23019783534327187,0.6973091826168655,-0.9275070179601371,0.3532167374984322,0.42396245012161327,-0.07074571262318122,-0.029697765536748612,0.20069397025785493,-0.23039173579460331
21109,excombatant,exparamilitar,28,9,M,D,0.019507592,1.192573236,0.25701952821116375,0.9890619020407623,-0.7320423738295985,2.04750633738214,1.4532086262481285,0.5942977111340123,0.7447247893498086,1.9233682403554748,-1.178643451005665
21110,excombatant,exguerrilla,27,5,M,D,0.392480807,0.464066708,-0.04102461487224465,-0.5642262494726853,0.5232016346004407,0.12060063916717495,-0.33688102640994855,0.4574816655771234,-0.22640462226232963,-0.6349875336444837,0.40858291138215425
21111,excombatant,exguerrilla,27,11,F,D,0.050144675,0.04992785,0.4881499642816019,0.8523439953120474,-0.36419403103044556,0.7142385057977932,0.5233285462398726,0.19090995955792076,1.2091316178405762,1.7505917738210701,-0.5414601559804938
21112,excombatant,exparamilitar,34,6,M,D,0.218814731,0.843594318,0.7433930020619133,0.879436865836278,-0.136043863774365,0.836065751915858,1.680194171026375,-0.8441284191105168,-0.3161295943856259,0.23057120710408588,-0.5467008014897119
21113,excombatant,exguerrilla,60,3,M,D,-0.566805212,-0.596115679,-0.22987231683926138,0.7466144284831825,-0.9764867453224437,0.597282549370238,0.984815271909268,-0.3875327225390297,0.004902969339534078,0.1181492953768551,-0.11324632603732085
21114,excombatant,exguerrilla,35,7,F,I,-0.087000278,0.269879498,-1.131772030748933,-0.9806723962424472,-0.15109963450648578,-0.15813241158998836,-1.1291650697375657,0.9710326581475778,-0.4831318426736264,-1.885031619912976,1.401899777239349
21115,excombatant,exguerrilla,34,8,F,D,-0.099457807,-0.358815576,-0.21842246795754988,-1.2975961220609267,1.079173654103377,-0.05899743006455512,-0.8150425548016914,0.7560451247371364,0.03307320360334408,-0.9267645804531573,0.9598377840565016
21116,excombatant,exguerrilla,40,12,M,D,-0.095324964,0.049913505,-1.11497220633867,-0.13783374197731604,-0.977138464361354,0.273736616746046,0.6085076675645846,-0.33477105081853864,1.7966790944546693,1.8122563805234482,-0.015577286068779088
21118,excombatant,exguerrilla,30,12,M,D,-0.379185195,-0.286565484,0.40394044350197905,0.852209467700176,-0.448269024198197,0.5842946245628121,1.1811919862397084,-0.5968973616768968,0.7560787356096375,1.0126730102293438,-0.2565942746197064
21121,excombatant,exguerrilla,30,11,M,D,0.011232219,0.083492261,-0.9775880707633889,-1.311246561303046,0.33365849053965635,-1.294487205977149,-0.9646237519533108,-0.32986345402383765,-2.9111517685294634,-2.7830570000363926,-0.12809476849306992
21122,excombatant,exguerrilla,33,11,M,D,-0.247171969,0.087478157,-1.4829576766770083,-1.5232675163379463,0.040309839660937076,-2.398804467715419,-2.5369559196894502,0.13815145197403048,-1.220354168393147,-1.0016676606477926,-0.21868650774535395
21123,excombatant,exparamilitar,39,15,M,D,-0.705655838,-0.288088298,0.3519700928149934,-0.2778743942742355,0.629844487089229,-0.3419159676609518,1.382279745533353,-1.7241957131943055,0.06049603582676772,-0.0715675193740163,0.132063555200784
21125,excombatant,exguerrilla,26,7,F,D,0.017283231,0.190070944,-0.22072267157335862,0.7695461409910158,-0.9902688125643746,1.675220603082311,2.4341994848253905,-0.7589788817430798,1.091721479775784,1.7196603814349787,-0.6279389016591941
