subject,type,group,age,scholarship,gender,laterality,dscore_4,modo_2,mean_co_0,mean_in_0,dif_co_in_0,mean_co_1,mean_in_1,dif_co_in_1,mean_co_2,mean_in_2,dif_co_in_2
21100,excombatant,exguerrilla,19,11,F,D,0.319043911,0.940969009,-1.0139270740472155,0.818593475597218,-1.8325205496444334,-1.195966450599121,2.136550373478907,-3.332516824078028,0.12054003754392963,0.36751480397080716,-0.24697476642687743
21101,excombatant,exparamilitar,46,11,M,D,-0.070835936,0.006873246,1.6415771729883837,0.7234539548793042,0.9181232181090795,2.193161676825856,2.259026288359389,-0.06586461153353225,2.6412235881290944,1.4973372464166843,1.1438863417124103
21102,excombatant,exparamilitar,31,11,M,D,0.488057432,#N/D,1.5701594137046875,-0.5214217788101876,2.091581192514875,-3.464133533091988,-2.932099056857599,-0.532034476234389,-1.9736948330884916,-0.7792946373040486,-1.1944001957844432
21103,excombatant,exparamilitar,42,18,M,D,0.120374057,0.370198186,-0.6733512609077754,0.8835992407407816,-1.556950501648557,-2.524528289888295,-0.30824046041008596,-2.216287829478209,-1.5348303221993924,0.3412050476709554,-1.8760353698703478
21104,excombatant,exparamilitar,38,11,M,D,0.243337779,0.42363553,0.4151286173555101,1.3912351764127866,-0.9761065590572764,2.4765938765378013,2.5613766672011593,-0.08478279066335827,1.4578858126297782,1.622816493915482,-0.16493068128570385
21105,excombatant,exparamilitar,48,8,M,D,0.258351725,0.021271749,1.1695699407960654,2.1590768095505433,-0.9895068687544774,0.2580459316878948,0.2461873752320687,0.011858556455826133,-1.1657361665572674,-0.03447979008755084,-1.1312563764697166
21106,excombatant,exguerrilla,28,5,M,D,0.046196616,0.286540141,0.9674733608446631,-0.869543173187455,1.8370165340321174,-1.4095947876946056,-2.340042059876488,0.930447272181883,-1.4549892483907727,-3.359310523982799,1.9043212755920265
21107,excombatant,exguerrilla,25,11,M,D,-0.11956557,0.243379046,1.6149056548572738,-0.12566644238689212,1.7405720972441656,-0.8804984633885458,-1.6241601722947232,0.7436617089061771,-0.9707053008482461,-0.37852821914231477,-0.5921770817059316
21108,excombatant,exguerrilla,21,8,F,D,-0.023241771,0.310845045,0.056339830819695465,0.750717479399068,-0.6943776485793726,0.00459722920276567,-0.08595233491186774,0.09054956411463357,-1.312412114895993,-0.44733447094490214,-0.8650776439510911
21109,excombatant,exparamilitar,28,9,M,D,0.019507592,1.192573236,0.13234006144991425,0.582379992813951,-0.45003993136403675,-0.0738051735977396,1.8739045615070806,-1.9477097351048205,0.9619593827049655,1.865101609641629,-0.903142226936664
21110,excombatant,exguerrilla,27,5,M,D,0.392480807,0.464066708,-0.08071719652676969,-0.8740823115236606,0.7933651149968908,-0.21484142410654264,-0.5472802841234169,0.3324388600168742,0.39534368939048525,-0.05538123513288554,0.4507249245233707
21111,excombatant,exguerrilla,27,11,F,D,0.050144675,0.04992785,0.4973752878723627,0.8152630052495587,-0.31788771737719607,1.3525560624469029,1.7818604343413835,-0.4293043718944808,1.438975664085905,0.4395960335100058,0.9993796305758992
